127.0.0.1 - - [21/Jan/2019:11:29:31 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:29:33 +0800] "GET /free/ HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:53:34 +0800] "GET /free/ HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:53:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "POST /free/login HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "POST /free/login HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "GET /free/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "GET /free/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "GET /free/js/jquery-1.12.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "GET /free/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:53:57 +0800] "GET /free/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:54:23 +0800] "GET /free/quit HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:54:42 +0800] "POST /free/login HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:00 +0800] "POST /free/login HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:02 +0800] "GET /free/index.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:11 +0800] "POST /free/login HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:13 +0800] "GET /free/index.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:22 +0800] "POST /free/login HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:25 +0800] "GET /free/borrowDj HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:28 +0800] "POST /free/login HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:55:30 +0800] "GET /free/index.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:57:49 +0800] "POST /free/login HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:57:58 +0800] "POST /free/login HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:58:00 +0800] "GET /free/index.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:58:01 +0800] "POST /free/login HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [21/Jan/2019:15:58:04 +0800] "GET /free/quit HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Jan/2019:16:21:37 +0800] "POST /free/login HTTP/1.1" 200 7995
